Date,Pair,Direction,Type,Score,Result,Entry,Close,SL,TP,RR,R_Result,Duration,PKT_Open,PKT_Close,Session,Macro,MTF15m,News,ATR,Notes
2026-03-01T00:17:14.866Z,XAU/USD,BUY,INTRADAY,77,TP,5278.01,,5277.48,5278.97,1.8,,,,,5,BULLISH,4,,0.27,
2026-03-01T00:32:15.335Z,XAU/USD,BUY,SCALP,67,TP,5277.95,,5277.82,5278.14,1.5,,,,,5,BULLISH,4,,0.16,
2026-03-01T01:32:15.297Z,XAU/USD,BUY,SCALP,77,SL,5277.97,,5277.84,5278.16,1.5,,,,,5,BULLISH,4,,0.16,
2026-03-01T02:13:28.043Z,BTC/USD,BUY,INTRADAY,67,TP,67975,,67389,69031,1.8,,,,,5,BULLISH,12,,293,
2026-03-01T02:18:28.080Z,BTC/USD,BUY,SCALP,75,TP,67774,,67649,67962,1.5,,,,,5,BULLISH,12,,156,
2026-03-01T02:19:36.066Z,ETH/USD,BUY,INTRADAY,68,TP,2046,,2020,2093,1.8,,,,,5,BULLISH,12,,13,
2026-03-02T00:03:39.821Z,XAU/USD,BUY,INTRADAY,71,SL,5371.71,,5355.49,5400.89,1.8,,,,,5,BULLISH,12,,8.11,
2026-03-02T00:03:42.647Z,EUR/USD,SELL,INTRADAY,75,SL,1.17606,,1.17735,1.17373,1.8,,,,,5,BEARISH,12,,0.00065,
2026-03-02T00:04:50.553Z,GBP/USD,SELL,INTRADAY,75,SL,1.34046,,1.34234,1.33708,1.8,,,,,5,BEARISH,12,,0.00094,
2026-03-02T00:13:41.976Z,XAU/USD,BUY,SCALP,71,SL,5375.52,,5372.14,5380.59,1.5,,,,,5,BULLISH,12,,4.22,
2026-03-02T00:40:20.084Z,XAU/USD,BUY,SCALP,67,SL,5367.72,,5364.71,5372.25,1.5,,,,,5,BULLISH,12,,3.77,
2026-03-02T00:40:22.889Z,EUR/USD,SELL,INTRADAY,73,SL,1.17663,,1.17778,1.17456,1.8,,,,,5,BEARISH,12,,0.00057,
2026-03-02T02:35:20.181Z,XAU/USD,BUY,SCALP,67,TP,5331.43,,5329.7,5334.02,1.5,,,,,5,BULLISH,4,,2.16,
2026-03-02T02:50:19.952Z,XAU/USD,BUY,INTRADAY,71,SL,5346.18,,5327.64,5379.54,1.8,,,,,5,BULLISH,12,,9.27,
2026-03-02T18:47:00.607Z,EUR/USD,SELL,INTRADAY,78,SL,1.16881,,1.1696,1.16739,1.8,,,,,8,BEARISH,12,,0.00039,
2026-03-02T20:00:31.620Z,BTC/USD,BUY,INTRADAY,70,SL,68975,,68555,69732,1.8,,,,,8,BULLISH,12,,210,
2026-03-02T20:01:39.399Z,ETH/USD,BUY,INTRADAY,66,TP,2043.1,,2026.7,2072.6,1.8,,,,,8,BULLISH,12,,8.2,
2026-03-02T20:20:31.184Z,GBP/USD,SELL,INTRADAY,67,SL,1.34007,,1.34141,1.33765,1.8,,,,,8,BEARISH,4,,0.00067,
2026-03-02T20:21:41.263Z,ETH/USD,BUY,SCALP,64,SL,2037.9,,2034.3,2043.3,1.5,,,,,8,BULLISH,12,,4.5,
2026-03-02T20:29:22.510Z,XAU/USD,BUY,INTRADAY,84,TP,5340.31,,5324.49,5368.79,1.8,,,,,8,BULLISH,12,,7.91,
2026-03-02T20:30:34.533Z,BTC/USD,BUY,SCALP,66,SL,68970,,68894,69084,1.5,,,,,8,BULLISH,12,,95,
2026-03-02T20:41:41.666Z,ETH/USD,BUY,SCALP,64,TP,2038.3,,2035.9,2041.9,1.5,,,,,8,BULLISH,12,,3,
2026-03-02T20:59:23.210Z,XAU/USD,BUY,SCALP,76,SL,5339.3,,5337.69,5341.73,1.5,,,,,8,BULLISH,12,,2.02,
2026-03-02T21:09:23.204Z,BTC/USD,BUY,INTRADAY,68,SL,69278,,68831,70083,1.8,,,,,0,BULLISH,12,,224,
2026-03-02T22:09:22.485Z,BTC/USD,BUY,SCALP,69,SL,69435,,69389,69503,1.5,,,,,0,BULLISH,12,,57,
2026-03-02T22:29:22.602Z,BTC/USD,BUY,INTRADAY,69,SL,69366,,69036,69959,1.8,,,,,0,BULLISH,12,,165,
2026-03-03T00:04:22.974Z,XAU/USD,BUY,INTRADAY,72,SL,5342.28,,5332.53,5359.82,1.8,,,,,5,BULLISH,12,,4.87,
2026-03-03T00:51:56.359Z,XAU/USD,BUY,SCALP,72,SL,5354.59,,5352.93,5357.09,1.5,,,,,5,BULLISH,12,,2.08,
2026-03-03T01:18:08.887Z,BTC/USD,BUY,INTRADAY,76,TP,69052,,68717,69656,1.8,,,,,5,BULLISH,12,,168,
2026-03-03T02:51:56.861Z,XAU/USD,BUY,INTRADAY,76,SL,5362.69,,5347.37,5390.28,1.8,,,,,5,BULLISH,12,,7.66,
2026-03-03T15:57:37.853Z,EUR/USD,SELL,INTRADAY,77,TP,1.15738,,1.15904,1.15438,1.8,,,,,15,BEARISH,12,,0.00083,
2026-03-03T17:32:35.557Z,XAU/USD,SELL,INTRADAY,78,TP,5081.99,,5110.07,5031.45,1.8,,,,,8,BEARISH,12,,14.04,
2026-03-03T17:47:36.063Z,XAU/USD,SELL,SCALP,82,SL,5082.18,,5084.66,5078.47,1.5,,,,,8,BEARISH,12,,3.09,
2026-03-03T19:31:07.658Z,XAU/USD,SELL,INTRADAY,78,SL,5107.57,,5130.77,5065.83,1.8,,,,,8,BEARISH,12,,11.6,
2026-03-03T19:41:08.350Z,XAU/USD,SELL,SCALP,72,TP,5109.55,,5112.31,5105.41,1.5,,,,,8,BEARISH,12,,3.45,
2026-03-03T20:41:08.400Z,XAU/USD,SELL,INTRADAY,78,SL,5111.34,,5130.83,5076.25,1.8,,,,,8,BEARISH,12,,9.75,
2026-03-04T12:52:32.741Z,BTC/USD,BUY,INTRADAY,76,TP,71129,,70731,71844,1.8,,,,,15,BULLISH,12,,199,
2026-03-04T13:13:40.294Z,ETH/USD,BUY,INTRADAY,77,TP,2061.6,,2047.1,2087.6,1.8,,,,,15,BULLISH,12,,7.2,
2026-03-04T13:17:34.473Z,BTC/USD,BUY,SCALP,86,TP,71318,,71242,71432,1.5,,,,,15,BULLISH,12,,95,
2026-03-04T13:38:41.020Z,ETH/USD,BUY,SCALP,81,TP,2057.7,,2055.6,2060.8,1.5,,,,,15,BULLISH,12,,2.6,
2026-03-04T13:52:33.853Z,BTC/USD,BUY,INTRADAY,86,TP,71357,,70995,72007,1.8,,,,,15,BULLISH,12,,181,
2026-03-04T14:01:22.563Z,XAU/USD,SELL,INTRADAY,75,SL,5171.45,,5185.82,5145.58,1.8,,,,,15,BEARISH,4,,7.19,
2026-03-04T14:18:42.384Z,ETH/USD,BUY,INTRADAY,77,SL,2072.2,,2057.9,2098,1.8,,,,,15,BULLISH,12,,7.2,
2026-03-04T14:22:34.484Z,BTC/USD,BUY,SCALP,82,TP,71625,,71531,71766,1.5,,,,,15,BULLISH,12,,117,
2026-03-04T14:23:42.423Z,ETH/USD,BUY,SCALP,77,TP,2072.1,,2069.1,2076.5,1.5,,,,,15,BULLISH,12,,3.7,
2026-03-04T14:48:41.159Z,ETH/USD,BUY,SCALP,81,SL,2085,,2078.9,2094.3,1.5,,,,,15,BULLISH,12,,7.7,
2026-03-04T15:02:34.228Z,BTC/USD,BUY,INTRADAY,84,TP,71960,,71318,73116,1.8,,,,,15,BULLISH,12,,321,
2026-03-04T15:07:33.895Z,BTC/USD,BUY,SCALP,84,SL,71784,,71630,72015,1.5,,,,,15,BULLISH,12,,192,
2026-03-04T15:11:22.763Z,XAU/USD,SELL,INTRADAY,75,TP,5148.92,,5171.41,5108.45,1.8,,,,,15,BEARISH,4,,11.24,
2026-03-04T15:38:41.841Z,BTC/USD,BUY,INTRADAY,78,SL,72860,,72142,74151,1.8,,,,,15,BULLISH,12,,359,
2026-03-04T15:46:04.013Z,BTC/USD,BUY,SCALP,82,TP,72734,,72606,72926,1.5,,,,,15,BULLISH,12,,160,
2026-03-04T15:47:11.882Z,ETH/USD,BUY,INTRADAY,77,SL,2129.6,,2102.6,2178.3,1.8,,,,,15,BULLISH,12,,13.5,
2026-03-04T15:54:53.194Z,XAU/USD,SELL,SCALP,73,TP,5148.26,,5151.01,5144.14,1.5,,,,,15,BEARISH,4,,3.44,
2026-03-04T16:12:12.152Z,ETH/USD,BUY,SCALP,75,SL,2143.2,,2137.3,2152,1.5,,,,,8,BULLISH,12,,7.4,
2026-03-04T16:41:04.874Z,BTC/USD,BUY,INTRADAY,77,TP,73210,,72540,74418,1.8,,,,,8,BULLISH,12,,335,
2026-03-04T17:44:52.202Z,XAU/USD,SELL,SCALP,73,TP,5135.99,,5137.84,5133.22,1.5,,,,,8,BEARISH,4,,2.31,
2026-03-04T17:51:03.555Z,BTC/USD,BUY,INTRADAY,80,TP,73285,,72745,74257,1.8,,,,,8,BULLISH,12,,270,
2026-03-04T17:52:11.523Z,ETH/USD,BUY,INTRADAY,77,TP,2146.7,,2127.6,2180.9,1.8,,,,,8,BULLISH,12,,9.5,
2026-03-04T18:11:03.734Z,BTC/USD,BUY,SCALP,80,SL,73332,,73260,73440,1.5,,,,,8,BULLISH,12,,90,
2026-03-04T18:22:11.042Z,ETH/USD,BUY,SCALP,77,TP,2145.7,,2142.9,2150,1.5,,,,,8,BULLISH,12,,3.5,
2026-03-04T18:42:10.812Z,ETH/USD,BUY,SCALP,77,SL,2149.6,,2147.6,2152.5,1.5,,,,,8,BULLISH,12,,2.4,
2026-03-04T18:56:03.816Z,BTC/USD,BUY,INTRADAY,78,SL,73650,,73177,74502,1.8,,,,,8,BULLISH,12,,237,
2026-03-04T18:57:11.814Z,ETH/USD,BUY,INTRADAY,75,SL,2160.1,,2143.7,2189.7,1.8,,,,,8,BULLISH,12,,8.2,
2026-03-04T20:43:52.016Z,ETH/USD,BUY,INTRADAY,77,TP,2172.5,,2155.9,2202.4,1.8,,,,,8,BULLISH,12,,8.3,
2026-03-05T00:57:44.912Z,BTC/USD,BUY,INTRADAY,77,TP,72866,,72511,73505,1.8,,,,,5,BULLISH,4,,177,
2026-03-05T01:29:48.422Z,BTC/USD,BUY,SCALP,73,SL,73012,,72934,73129,1.5,,,,,5,BULLISH,4,,98,
2026-03-05T06:33:36.779Z,XAU/USD,SELL,SCALP,73,TP,5141.48,,5143.24,5138.83,1.5,,,,,5,BEARISH,12,,2.21,
2026-03-05T07:10:55.172Z,ETH/USD,BUY,INTRADAY,78,TP,2125.4,,2114.3,2138.8,1.2,,,,,15,BULLISH,4,,5.6,
2026-03-05T08:08:36.742Z,XAU/USD,SELL,INTRADAY,77,TP,5152.65,,5163.1,5140.11,1.2,,,,,15,BEARISH,12,,5.22,
2026-03-05T09:19:48.143Z,BTC/USD,BUY,INTRADAY,78,SL,72513,,72138,72962,1.2,,,,,15,BULLISH,4,,187,
2026-03-05T09:30:57.113Z,ETH/USD,BUY,INTRADAY,78,TP,2129.3,,2115.3,2146.1,1.2,,,,,15,BULLISH,4,,7,
2026-03-05T09:54:49.368Z,BTC/USD,BUY,SCALP,73,SL,72595,,72532,72689,1.5,,,,,10,BULLISH,4,,78,
2026-03-05T10:00:57.574Z,ETH/USD,BUY,SCALP,73,SL,2125.1,,2123.6,2127.4,1.5,,,,,10,BULLISH,4,,1.9,
2026-03-05T10:59:48.277Z,BTC/USD,BUY,,,SKIPPED,,,,,,,,,,,,,,,**Signal skipped — RSI & Stoch both 0**
2026-03-05T11:04:48.360Z,BTC/USD,BUY,INTRADAY,81,SL,73285,,72863,73792,1.2,,,,,10,BULLISH,12,,211,
2026-03-05T11:10:55.953Z,ETH/USD,BUY,INTRADAY,77,SL,2154.8,,2140.4,2171.9,1.2,,,,,10,BULLISH,12,,7.2,
2026-03-05T12:59:48.428Z,BTC/USD,BUY,SCALP,74,SL,72975,,72920,73058,1.5,,,,,15,BULLISH,4,,69,
2026-03-05T13:48:36.833Z,XAU/USD,SELL,INTRADAY,87,TP,5124.8,,5144.66,5100.97,1.2,,,,,15,BEARISH,12,,9.93,
2026-03-05T13:53:37.727Z,XAU/USD,SELL,SCALP,81,SL,5126.01,,5129.2,5121.22,1.5,,,,,15,BEARISH,12,,3.99,
2026-03-05T14:08:38.123Z,XAU/USD,SELL,SCALP,86,TP,5121.53,,5125.44,5115.67,1.5,,,,,15,BEARISH,12,,4.88,
2026-03-05T14:28:37.582Z,XAU/USD,SELL,SCALP,86,SL,5113.3,,5115.73,5109.67,1.5,,,,,15,BEARISH,12,,3.03,
2026-03-05T14:29:49.794Z,BTC/USD,BUY,SCALP,74,SL,72544,,72474,72650,1.5,,,,,15,BULLISH,4,,88,
2026-03-05T14:48:37.860Z,XAU/USD,SELL,INTRADAY,78,SL,5097.94,,5121.52,5069.64,1.2,,,,,15,BEARISH,12,,11.79,
2026-03-05T15:18:37.623Z,XAU/USD,SELL,SCALP,82,SL,5087.45,,5092.22,5080.31,1.5,,,,,15,BEARISH,12,,5.95,
2026-03-05T15:38:37.456Z,XAU/USD,SELL,SCALP,78,SL,5086.85,,5089.61,5082.7,1.5,,,,,15,BEARISH,12,,3.46,
2026-03-05T16:08:37.507Z,XAU/USD,SELL,INTRADAY,77,SL,5085.49,,5109.17,5057.08,1.2,,,,,8,BEARISH,12,,11.84,
2026-03-05T18:57:11.741Z,XAU/USD,SELL,INTRADAY,77,TP,5071.83,,5086.83,5053.83,1.2,,,,,8,BEARISH,12,,7.5,
2026-03-05T19:57:12.485Z,XAU/USD,SELL,INTRADAY,81,TP,5064.65,,5078.34,5048.21,1.2,,,,,8,BEARISH,12,,6.85,
2026-03-06T01:27:12.122Z,XAU/USD,SELL,SCALP,73,TP,5081.3,,5083.72,5077.67,1.5,,,,,5,BEARISH,4,,3.02,
2026-03-06T07:17:11.936Z,XAU/USD,SELL,INTRADAY,77,TP,5111.59,,5119.19,5102.47,1.2,,,,,15,BEARISH,12,,3.8,
2026-03-06T07:32:12.711Z,XAU/USD,SELL,SCALP,83,SL,5114.16,,5115.34,5112.41,1.5,,,,,15,BEARISH,12,,1.46,
2026-03-06T08:22:12.130Z,XAU/USD,SELL,INTRADAY,75,SL,5115.03,,5122.27,5106.34,1.2,,,,,15,BEARISH,12,,3.62,
2026-03-06T09:22:11.793Z,XAU/USD,SELL,SCALP,77,SL,5101.72,,5102.96,5099.85,1.5,,,,,15,BEARISH,12,,1.55,
2026-03-06T09:27:13.029Z,XAU/USD,SELL,INTRADAY,77,SL,5096.13,,5105.48,5084.92,1.2,,,,,15,BEARISH,12,,4.67,
2026-03-06T09:47:12.569Z,XAU/USD,SELL,SCALP,72,SL,5096.82,,5098.24,5094.69,1.5,,,,,10,BEARISH,12,,1.78,
2026-03-06T11:03:23.518Z,BTC/USD,SELL,INTRADAY,76,TP,70485,,70725,70198,1.2,,,,,10,BEARISH,12,,120,
2026-03-06T12:02:12.860Z,XAU/USD,SELL,INTRADAY,82,SL,5077.51,,5090.9,5061.43,1.2,,,,,15,BEARISH,12,,6.7,
2026-03-06T12:07:13.501Z,XAU/USD,SELL,SCALP,82,SL,5081.73,,5084.45,5077.63,1.5,,,,,15,BEARISH,12,,3.41,
2026-03-06T12:18:23.945Z,BTC/USD,SELL,SCALP,73,SL,70041,,70099,69955,1.5,,,,,15,BEARISH,12,,72,
2026-03-06T12:23:25.020Z,BTC/USD,SELL,INTRADAY,81,TP,70093,,70385,69742,1.2,,,,,15,BEARISH,12,,146,
2026-03-06T12:53:23.317Z,BTC/USD,SELL,SCALP,86,SL,69846,,69907,69755,1.5,,,,,15,BEARISH,12,,76,
2026-03-06T13:07:12.517Z,XAU/USD,SELL,INTRADAY,82,SL,5074.78,,5087.82,5059.12,1.2,,,,,15,BEARISH,12,,6.52,
2026-03-06T13:18:23.953Z,BTC/USD,SELL,SCALP,74,SL,69980,,70028,69907,1.5,,,,,15,BEARISH,12,,60,
2026-03-06T13:33:24.218Z,BTC/USD,SELL,INTRADAY,84,TP,69975,,70311,69572,1.2,,,,,15,BEARISH,12,,168,
2026-03-06T14:12:11.926Z,XAU/USD,SELL,INTRADAY,77,SL,5090.16,,5111.85,5064.14,1.2,,,,,15,BEARISH,12,,10.84,
2026-03-06T14:23:24.121Z,BTC/USD,SELL,,,SKIPPED,,,,,,,,,,,,,,,**Signal skipped — RSI & Stoch both 0**
2026-03-06T14:38:23.902Z,BTC/USD,SELL,,,SKIPPED,,,,,,,,,,,,,,,**Signal skipped — RSI & Stoch both 0**
2026-03-06T15:08:23.280Z,BTC/USD,SELL,SCALP,82,SL,68573,,68688,68402,1.5,,,,,15,BEARISH,12,,143,
2026-03-06T15:14:31.389Z,ETH/USD,SELL,INTRADAY,77,SL,1982,,2003,1956.8,1.2,,,,,15,BEARISH,12,,10.5,
2026-03-06T15:43:24.042Z,BTC/USD,SELL,SCALP,74,TP,68844,,68934,68709,1.5,,,,,15,BEARISH,12,,112,
2026-03-06T15:48:25.025Z,BTC/USD,SELL,INTRADAY,84,TP,68625,,69167,67973,1.2,,,,,15,BEARISH,12,,271,
2026-03-06T16:08:25.088Z,BTC/USD,SELL,SCALP,77,TP,68614,,68700,68485,1.5,,,,,8,BEARISH,12,,108,
2026-03-06T17:03:25.102Z,BTC/USD,SELL,SCALP,74,TP,68485,,68563,68367,1.5,,,,,8,BEARISH,12,,98,
2026-03-06T17:09:32.544Z,ETH/USD,SELL,INTRADAY,77,SL,1973,,1989.3,1953.5,1.2,,,,,8,BEARISH,12,,8.1,
2026-03-06T17:18:24.947Z,BTC/USD,SELL,INTRADAY,76,TP,68360,,68830,67796,1.2,,,,,8,BEARISH,12,,235,
2026-03-06T17:58:24.407Z,BTC/USD,SELL,SCALP,82,SL,68004,,68070,67904,1.5,,,,,8,BEARISH,12,,83,
2026-03-06T19:03:24.243Z,BTC/USD,SELL,SCALP,74,SL,68271,,68328,68186,1.5,,,,,8,BEARISH,12,,71,
2026-03-06T19:38:24.996Z,BTC/USD,SELL,INTRADAY,78,SL,68201,,68540,67795,1.2,,,,,8,BEARISH,12,,169,
2026-03-06T19:58:24.830Z,BTC/USD,SELL,SCALP,78,SL,68140,,68191,68063,1.5,,,,,8,BEARISH,12,,64,
2026-03-06T20:34:32.379Z,ETH/USD,SELL,INTRADAY,75,SL,1971.8,,1981.3,1960.4,1.2,,,,,8,BEARISH,12,,4.7,
2026-03-07T00:03:24.906Z,BTC/USD,SELL,INTRADAY,75,SL,68126,,68301,67916,1.2,,,,,5,BEARISH,12,,88,
2026-03-07T00:08:22.732Z,GBP/USD,BUY,INTRADAY,75,SL,1.34164,,1.34075,1.34271,1.2,,,,,5,BULLISH,12,,0.00045,
2026-03-07T01:28:25.640Z,BTC/USD,SELL,INTRADAY,81,SL,68212,,68374,68016,1.2,,,,,5,BEARISH,12,,81,
2026-03-07T01:38:25.707Z,BTC/USD,SELL,SCALP,81,SL,68228,,68251,68193,1.5,,,,,5,BEARISH,12,,29,
2026-03-07T02:38:25.674Z,BTC/USD,SELL,INTRADAY,75,TP,68128,,68266,67962,1.2,,,,,5,BEARISH,12,,69,
2026-03-07T03:43:25.648Z,BTC/USD,SELL,INTRADAY,85,SL,68188,,68364,67976,1.2,,,,,5,BEARISH,12,,88,
2026-03-07T04:14:32.870Z,ETH/USD,SELL,INTRADAY,79,SL,1971,,1979,1961.3,1.2,,,,,5,BEARISH,12,,4,
2026-03-07T04:18:25.605Z,BTC/USD,SELL,SCALP,75,SL,67986,,68022,67931,1.5,,,,,5,BEARISH,12,,45,
2026-03-07T04:24:33.523Z,ETH/USD,SELL,SCALP,79,SL,1973,,1974,1971.4,1.5,,,,,5,BEARISH,12,,1.3,
2026-03-07T05:18:25.796Z,BTC/USD,SELL,INTRADAY,75,TP,67934,,68116,67714,1.2,,,,,5,BEARISH,12,,91,
2026-03-07T05:33:25.672Z,BTC/USD,SELL,SCALP,81,TP,67988,,68011,67953,1.5,,,,,5,BEARISH,12,,29,
2026-03-07T06:23:25.708Z,BTC/USD,SELL,INTRADAY,75,TP,67952,,68105,67767,1.2,,,,,5,BEARISH,12,,77,
2026-03-07T06:33:25.816Z,BTC/USD,SELL,SCALP,75,TP,67917,,67939,67884,1.5,,,,,5,BEARISH,12,,28,
2026-03-07T07:13:25.086Z,BTC/USD,SELL,SCALP,85,SL,67633,,67689,67549,1.5,,,,,15,BEARISH,12,,70,
2026-03-07T07:23:25.840Z,BTC/USD,SELL,INTRADAY,87,SL,67612,,67823,67359,1.2,,,,,15,BEARISH,12,,105,
2026-03-07T07:33:25.781Z,BTC/USD,SELL,SCALP,85,SL,67698,,67731,67649,1.5,,,,,15,BEARISH,12,,41,
2026-03-07T09:03:25.252Z,BTC/USD,SELL,INTRADAY,75,SL,67767,,67931,67570,1.2,,,,,15,BEARISH,12,,82,
2026-03-07T10:58:25.047Z,BTC/USD,SELL,INTRADAY,80,SL,67925,,68057,67766,1.2,,,,,10,BEARISH,12,,66,
2026-03-07T12:03:25.098Z,BTC/USD,SELL,INTRADAY,77,TP,68020,,68164,67846,1.2,,,,,15,BEARISH,4,,72,
2026-03-07T13:08:26.093Z,BTC/USD,SELL,INTRADAY,83,TP,67964,,68114,67785,1.2,,,,,15,BEARISH,4,,75,
2026-03-07T13:23:25.917Z,BTC/USD,SELL,SCALP,77,TP,68006,,68032,67967,1.5,,,,,15,BEARISH,4,,32,
2026-03-07T13:53:26.150Z,BTC/USD,SELL,SCALP,77,TP,67934,,67958,67898,1.5,,,,,15,BEARISH,4,,30,
2026-03-07T14:18:25.141Z,BTC/USD,SELL,INTRADAY,77,SL,67757,,67936,67542,1.2,,,,,15,BEARISH,4,,90,
2026-03-07T14:19:33.024Z,ETH/USD,SELL,SCALP,82,TP,1976.3,,1977.4,1974.5,1.5,,,,,15,BEARISH,12,,1.4,
2026-03-07T14:23:26.041Z,BTC/USD,SELL,SCALP,77,SL,67772,,67808,67719,1.5,,,,,15,BEARISH,4,,44,
2026-03-07T15:43:25.190Z,BTC/USD,SELL,INTRADAY,77,TP,67818,,68018,67578,1.2,,,,,15,BEARISH,4,,100,
2026-03-07T15:44:33.202Z,ETH/USD,SELL,INTRADAY,78,TP,1977.7,,1984.9,1969,1.2,,,,,15,BEARISH,4,,3.6,
2026-03-07T16:03:25.927Z,BTC/USD,SELL,SCALP,76,SL,67866,,67892,67827,1.5,,,,,8,BEARISH,4,,33,
2026-03-07T16:43:26.043Z,BTC/USD,SELL,INTRADAY,78,SL,67764,,67933,67561,1.2,,,,,8,BEARISH,12,,85,
2026-03-07T16:48:25.982Z,BTC/USD,SELL,SCALP,78,TP,67796,,67821,67759,1.5,,,,,8,BEARISH,12,,31,
2026-03-07T17:13:25.260Z,BTC/USD,SELL,SCALP,76,TP,67811,,67832,67779,1.5,,,,,8,BEARISH,12,,27,
2026-03-07T18:18:25.238Z,BTC/USD,SELL,SCALP,74,TP,67664,,67693,67622,1.5,,,,,8,BEARISH,12,,35,
2026-03-07T18:23:25.398Z,BTC/USD,SELL,INTRADAY,76,TP,67615,,67764,67435,1.2,,,,,8,BEARISH,12,,75,
2026-03-07T18:34:32.304Z,ETH/USD,SELL,SCALP,73,TP,1973,,1973.9,1971.8,1.5,,,,,8,BEARISH,4,,1,
2026-03-07T18:43:25.316Z,BTC/USD,SELL,SCALP,78,TP,67607,,67639,67558,1.5,,,,,8,BEARISH,12,,41,
2026-03-07T19:13:25.299Z,BTC/USD,SELL,SCALP,82,TP,67557,,67582,67519,1.5,,,,,8,BEARISH,12,,32,
2026-03-07T19:23:25.450Z,BTC/USD,SELL,INTRADAY,78,TP,67463,,67657,67230,1.2,,,,,8,BEARISH,12,,97,
2026-03-07T19:38:24.787Z,BTC/USD,SELL,SCALP,74,TP,67318,,67369,67242,1.5,,,,,8,BEARISH,12,,63,
2026-03-07T19:39:32.892Z,ETH/USD,SELL,INTRADAY,75,TP,1964.2,,1970.7,1956.5,1.2,,,,,8,BEARISH,12,,3.2,
2026-03-07T20:03:23.932Z,BTC/USD,SELL,SCALP,78,SL,67150,,67203,67072,1.5,,,,,8,BEARISH,12,,65,
2026-03-07T22:17:12.588Z,BTC/USD,SELL,INTRADAY,76,SL,67340,,67506,67140,1.2,,,,,0,BEARISH,12,,83,
2026-03-07T22:52:15.388Z,ETH/USD,SELL,SCALP,76,SL,1966.6,,1967.6,1965,1.5,,,,,0,BEARISH,12,,1.3,
2026-03-07T23:52:13.298Z,BTC/USD,SELL,INTRADAY,76,TP,67241,,67400,67050,1.2,,,,,0,BEARISH,12,,80,
2026-03-08T01:28:24.712Z,BTC/USD,SELL,SCALP,81,TP,67256,,67282,67218,1.5,,,,,5,BEARISH,12,,32,
2026-03-08T02:08:24.731Z,BTC/USD,SELL,INTRADAY,77,SL,67272,,67425,67089,1.2,,,,,5,BEARISH,12,,76,
2026-03-08T02:43:24.744Z,BTC/USD,SELL,SCALP,75,TP,67223,,67249,67184,1.5,,,,,5,BEARISH,12,,33,
2026-04-05T11:29:03.196Z,BTC/USD,SELL,SCALP,,TP,,,,,,,,,,,,,,,No matching signal found
2026-03-08T03:08:24.172Z,BTC/USD,SELL,SCALP,75,SL,66986,,67037,66909,1.5,,,,,5,BEARISH,12,,64,
2026-03-08T03:13:24.860Z,BTC/USD,SELL,INTRADAY,75,SL,66947,,67192,66652,1.2,,,,,5,BEARISH,12,,123,
2026-03-08T03:14:32.793Z,ETH/USD,SELL,INTRADAY,75,SL,1948.4,,1957.8,1937.1,1.2,,,,,5,BEARISH,12,,4.7,
